id,name,party,partyLabel,votes,election,electionLabel,ranking
Q24052787,Kellie Armstrong,Q244927,Alliance Party of Northern Ireland,6610,Q28231972,2017 Assembly election,1
Q7518906,Simon Hamilton,Q215519,Democratic Unionist Party,6531,Q28231972,2017 Assembly election,2
Q6837153,Michelle McIlveen,Q215519,Democratic Unionist Party,6762,Q28231972,2017 Assembly election,3
Q6848174,Mike Nesbitt,Q841045,Ulster Unionist Party,6540,Q28231972,2017 Assembly election,4
Q7177640,Peter Weir,Q215519,Democratic Unionist Party,5392.38,Q28231972,2017 Assembly election,5
,Joe Boyle,Q175443,Social Democratic and Labour Party,5167.09,Q28231972,2017 Assembly election,6
Q24205313,Philip Smith,Q841045,Ulster Unionist Party,3079.25,Q28231972,2017 Assembly election,7
,Jimmy Menagh,Q327591,Independent (politician),2189.75,Q28231972,2017 Assembly election,8
Q6272557,Jonathan Bell,Q327591,Independent (politician),1794,Q28231972,2017 Assembly election,9
,Stephen Cooper,Q985076,Traditional Unionist Voice,1373,Q28231972,2017 Assembly election,10
,Dermot Kennedy,Q76382,Sinn Féin,1129,Q28231972,2017 Assembly election,11
,Ricky Bamford,Q1096979,Green Party in Northern Ireland,930,Q28231972,2017 Assembly election,12
Q76363105,Scott Benton,Q7058484,Northern Ireland Conservatives,195,Q28231972,2017 Assembly election,13
Q6848174,Mike Nesbitt,Q841045,Ulster Unionist Party,4673,Q16973450,2016 Assembly election,1
Q6837153,Michelle McIlveen,Q215519,Democratic Unionist Party,4663,Q16973450,2016 Assembly election,2
Q6272557,Jonathan Bell,Q215519,Democratic Unionist Party,5164,Q16973450,2016 Assembly election,3
Q7518906,Simon Hamilton,Q215519,Democratic Unionist Party,4983,Q16973450,2016 Assembly election,4
Q24052787,Kellie Armstrong,Q244927,Alliance Party of Northern Ireland,4662.46,Q16973450,2016 Assembly election,5
Q24205313,Philip Smith,Q841045,Ulster Unionist Party,3957.88,Q16973450,2016 Assembly election,6
,Joe Boyle,Q175443,Social Democratic and Labour Party,3387.92,Q16973450,2016 Assembly election,7
,Jimmy Menagh,Q327591,Independent (politician),2312.58,Q16973450,2016 Assembly election,8
,Harry Harvey,Q215519,Democratic Unionist Party,2226,Q16973450,2016 Assembly election,9
,Stephen Cooper,Q985076,Traditional Unionist Voice,1606,Q16973450,2016 Assembly election,10
,Georgia Grainger,Q1096979,Green Party in Northern Ireland,1043,Q16973450,2016 Assembly election,11
,Stephen Crosby,Q10647,United Kingdom Independence Party,807,Q16973450,2016 Assembly election,12
,Dermot Kennedy,Q76382,Sinn Féin,662,Q16973450,2016 Assembly election,13
,Bill McKendry,Q7058484,Northern Ireland Conservatives,314,Q16973450,2016 Assembly election,14
,Rab McCartney,Q327591,Independent (politician),107,Q16973450,2016 Assembly election,15
Q6837153,Michelle McIlveen,Q215519,Democratic Unionist Party,4573,Q7058474,2011 Assembly Election,1
Q6405417,Kieran McCarthy,Q244927,Alliance Party of Northern Ireland,4284,Q7058474,2011 Assembly Election,2
Q6272557,Jonathan Bell,Q215519,Democratic Unionist Party,4265,Q7058474,2011 Assembly Election,3
Q7518906,Simon Hamilton,Q215519,Democratic Unionist Party,5745.40,Q7058474,2011 Assembly Election,4
Q6848174,Mike Nesbitt,Q841045,Ulster Unionist Party,4069.92,Q7058474,2011 Assembly Election,5
Q5237446,David McNarry,Q841045,Ulster Unionist Party,3766.88,Q7058474,2011 Assembly Election,6
,Joe Boyle,Q175443,Social Democratic and Labour Party,3308.36,Q7058474,2011 Assembly Election,7
,Billy Walker,Q215519,Democratic Unionist Party,2449.33,Q7058474,2011 Assembly Election,8
,Mickey Coogan,Q76382,Sinn Féin,913.28,Q7058474,2011 Assembly Election,9
,Terry Williams,Q985076,Traditional Unionist Voice,963.01,Q7058474,2011 Assembly Election,10
,Cecil Andrews,Q10647,United Kingdom Independence Party,601,Q7058474,2011 Assembly Election,11
Q333235,Iris Robinson,Q215519,Democratic Unionist Party,5917,Q2562399,2007 Assembly Election,1
Q478702,Jim Shannon,Q215519,Democratic Unionist Party,5178.02,Q2562399,2007 Assembly Election,2
Q6405417,Kieran McCarthy,Q244927,Alliance Party of Northern Ireland,5206.74,Q2562399,2007 Assembly Election,3
Q5237446,David McNarry,Q841045,Ulster Unionist Party,6036.29,Q2562399,2007 Assembly Election,4
Q7518906,Simon Hamilton,Q215519,Democratic Unionist Party,4997.73,Q2562399,2007 Assembly Election,5
Q6837153,Michelle McIlveen,Q215519,Democratic Unionist Party,4579.39,Q2562399,2007 Assembly Election,6
,Joe Boyle,Q175443,Social Democratic and Labour Party,4548.34,Q2562399,2007 Assembly Election,7
,Angus Carson,Q841045,Ulster Unionist Party,2818.65,Q2562399,2007 Assembly Election,8
,Stephanie Sim,Q1096979,Green Party of Northern Ireland,1251.81,Q2562399,2007 Assembly Election,9
,Dermot Kennedy,Q76382,Sinn Féin,1099.13,Q2562399,2007 Assembly Election,10
Q5539001,George Ennis,Q985706,UK Unionist Party,1039.33,Q2562399,2007 Assembly Election,11
,Martin Gregg,Q327591,Independent (politician),733.28,Q2562399,2007 Assembly Election,12
,Michael Henderson,Q841045,Ulster Unionist Party,719.67,Q2562399,2007 Assembly Election,13
,Robert Little,Q7058484,Northern Ireland Conservatives,518.08,Q2562399,2007 Assembly Election,14
Q5057164,Cedric Wilson,Q6017344,Independent Unionist,308.77,Q2562399,2007 Assembly Election,15
Q333235,Iris Robinson,Q215519,Democratic Unionist Party,8548,Q2076187,2003 Assembly Election,1
Q333991,John Taylor,Q841045,Ulster Unionist Party,5658,Q2076187,2003 Assembly Election,2
Q5539001,George Ennis,Q215519,Democratic Unionist Party,6138.54,Q2076187,2003 Assembly Election,3
Q478702,Jim Shannon,Q215519,Democratic Unionist Party,6105.67,Q2076187,2003 Assembly Election,4
Q5237446,David McNarry,Q841045,Ulster Unionist Party,5610.50,Q2076187,2003 Assembly Election,5
Q6405417,Kieran McCarthy,Q244927,Alliance Party of Northern Ireland,4451.48,Q2076187,2003 Assembly Election,6
,Joe Boyle,Q175443,Social Democratic and Labour Party,4160.05,Q2076187,2003 Assembly Election,7
,Bob Little,Q841045,Ulster Unionist Party,3377.83,Q2076187,2003 Assembly Election,8
,Dermot Kennedy,Q76382,Sinn Féin,1189.05,Q2076187,2003 Assembly Election,9
Q5057164,Cedric Wilson,Q7058534,Northern Ireland Unionist Party,1425.63,Q2076187,2003 Assembly Election,10
,Colin Neill,Q1817613,Progressive Unionist Party,697.10,Q2076187,2003 Assembly Election,11
,Philip Orr,Q1096979,Green Party of Northern Ireland,501.97,Q2076187,2003 Assembly Election,12
,Danny McCarthy,Q327591,Independent (politician),351.61,Q2076187,2003 Assembly Election,13
Q333235,Iris Robinson,Q215519,Democratic Unionist Party,9479,Q2076208,1998 Assembly Election,1
Q333991,John Taylor,Q841045,Ulster Unionist Party,9203,Q2076208,1998 Assembly Election,2
Q7814943,Tom Benson,Q841045,Ulster Unionist Party,6327.41,Q2076208,1998 Assembly Election,3
Q6405417,Kieran McCarthy,Q244927,Alliance Party of Northern Ireland,6202.15,Q2076208,1998 Assembly Election,4
Q478702,Jim Shannon,Q215519,Democratic Unionist Party,5932.54,Q2076208,1998 Assembly Election,5
Q5057164,Cedric Wilson,Q985706,UK Unionist Party,4804.04,Q2076208,1998 Assembly Election,6
,Danny McCarthy,Q175443,Social Democratic and Labour Party,4644.97,Q2076208,1998 Assembly Election,7
,John Beattie,Q6017344,Independent Unionist,4087.26,Q2076208,1998 Assembly Election,8
,Peter Osborne,Q244927,Alliance Party of Northern Ireland,2982.86,Q2076208,1998 Assembly Election,9
Q5237446,David McNarry,Q841045,Ulster Unionist Party,2782.21,Q2076208,1998 Assembly Election,10
,Brian Hanvey,Q175443,Social Democratic and Labour Party,2124.69,Q2076208,1998 Assembly Election,11
,Ricky Johnston,Q1817613,Progressive Unionist Party,1778.87,Q2076208,1998 Assembly Election,12
,Tommy Jeffers,Q215519,Democratic Unionist Party,1713.68,Q2076208,1998 Assembly Election,13
Q16186261,Tom Hamilton,Q841045,Ulster Unionist Party,1316.63,Q2076208,1998 Assembly Election,14
,Wilbert McGill,Q6017344,Independent Unionist,1167.36,Q2076208,1998 Assembly Election,15
,Paddy McGreevy,Q76382,Sinn Féin,619.99,Q2076208,1998 Assembly Election,16
,Blakely McNally,Q1781051,Ulster Democratic Party,410.52,Q2076208,1998 Assembly Election,17
,Thomas Beattie,Q7058484,Northern Ireland Conservatives,312.48,Q2076208,1998 Assembly Election,18
,Nancy Orr,Q327591,Independent (politician),255.31,Q2076208,1998 Assembly Election,19
,Andrew Frew,Q1096979,Green Party of Northern Ireland,233.14,Q2076208,1998 Assembly Election,20
,Jonathan Stewart,Q6467508,Labour Party of Northern Ireland,196.86,Q2076208,1998 Assembly Election,21
,Sarah Mullins,Q491782,Natural Law Party,28.65,Q2076208,1998 Assembly Election,22
